FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY ITEM,Carbon footprint  (kg CO2 eq/kg or litre of food commodity),Type of source,Full Reference,Publication year,System Boundary  Distribution,Country,Region,Notes,Reported in other data summaries,Modification of original values 
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.575,JOURNAL,"Amienyo, D., & Azapagic, A. (2016). Life cycle environmental impacts and costs of beer production and consumption in the UK. The International Journal of Life Cycle Assessment, 21(4), 492-509.",2016,RETAIL,UK,N EUROPE,44.cc aluminium can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.693,JOURNAL,"Cimini, A., & Moresi, M. (2016). Carbon footprint of a pale lager packed in different formats: assessment and sensitivity analysis based on transparent data. Journal of Cleaner Production, 112, 4196-4213.",2016,RETAILER,ITALY,MEDITERRANEAN AREA,33.cc aluminium can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.771,EPD,"Carlsberg. Environmental Product Declaration of carlsberg, Registration Number: S-P-00312. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,33.cc. can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.9,EPD,"BIER, 2012. Research on the carbon footprint of beer. Beverage Industry Environmental Roundtable, June 2012 http://media.wix.com/ugd/49d7a0_70726e8dc94c456caf8a10771fc31625.pdf (accesed 09. 04.2019)",2012,RETAILER,USA,N AMERICA,"35,5cc aluminium can",this study,-
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.504,EPD,"Carlsberg. Environmental Product Declaration of carlsberg, Registration Number: S-P-00312. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,20 l. modular can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.518,EPD,"Carlsberg. Environmental Product Declaration of Poretti 4 Luppoli, Registration Number: S-P-00313. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,20 l. modular can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.531,EPD,"Carlsberg. Environmental Product Declaration of kronenbourg 1664, Registration Number: S-P-00533. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,20 l. modular can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.578,EPD,"Carlsberg. Environmental Product Declaration of Poretti 4 Luppoli, Registration Number: S-P-00313. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,10 l. modular can,this study,-
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.591,EPD,"Carlsberg. Environmental Product Declaration of kronenbourg 1664, Registration Number: S-P-00533. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,10 l. modular can,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.234,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 3, Approval date 2018.06.28, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,ringo cacao,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.302,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Batticuori, Registration number S-P-00228, Rev. 3, Approval date 2015.11.12, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,batticuori,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.33,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 2, Approval date 2015.06.15, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,ringo cacao,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.364,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Chicci di cioccolato, Registration number S-P-00419, approval date 2013.08.07, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,chicchi di cioccolato,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.381,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Batticuori, Registration number S-P-00228, Rev. 3, Approval date 2018.10.12, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,batticuori,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.429,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 3, Approval date 2018.06.28, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,ringo vaniglia,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.431,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Gocciole, Registration number S-P-00237, Rev. 3, Approval date 2016.07.26, valid 3 years.",2016,DC,ITALY,MEDITERRANEAN AREA,gocciole,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.435,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Batticuori, Registration number S-P-00228, Rev. 2, Approval date 2012.10.22, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,batticuori,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.507,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Batticuori, Registration number S-P-00228, Rev. 1, Approval date 2012.10.22, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,batticuori,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.516,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Gocciole, Registration number S-P-00237, Rev. 2, Approval date 2013.07.02, valid 3 years.",2013,DC,ITALY,MEDITERRANEAN AREA,gocciole,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.531,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Chicci di cioccolato, Registration number S-P-00419, Rev. 2 approval date 2016.12.20, valid 3 years",2016,DC,ITALY,MEDITERRANEAN AREA,chicchi di cioccolato,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.533,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 3, Approval date 2018.06.28, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,ringo hazelnut,this study,-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.547,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 1, Approval date 2012.06.14, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,ringo cacao,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.57,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 2, Approval date 2015.06.15, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,ringo vaniglia,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.664,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Pan di Stelle, Registration number S-P-00379, Rev. 1, Approval date 2012.12.20, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,pan di stelle,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.708,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Pan di Stelle, Registration number S-P-00379, Rev. 1, Approval date 2013.02.14, valid 3 years.",2013,DC,ITALY,MEDITERRANEAN AREA,pan di stelle,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.817,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Ringo Pavesi, Registration number S-P-00230, Rev. 1, Approval date 2012.06.14, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,ringo vaniglia,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,2.324,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata agli Abbracci, Registration number S-P-00421, approval date 2013.12.05, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,abbracci,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,2.443,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata agli Abbracci, Registration number S-P-00421, Rev.2 approval date 2017.14.02 , valid 3 years.",2017,DC,ITALY,MEDITERRANEAN AREA,abbracci,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.101,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Grancereale classico e alla frutta, Registration number S-P-00324, Rev. 3, Approval date 2015.11.16, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,grancereale classico,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.108,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Grancereale classico e alla frutta, Registration number S-P-00324, Rev. 3, Approval date 2015.11.16, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,grancereale classico,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.136,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Grancereale classico e alla frutta, Registration number S-P-00324, Rev. 3, Approval date 2015.11.16, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,grancereale alla frutta,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.143,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Grancereale classico e alla frutta, Registration number S-P-00324, Rev. 3, Approval date 2015.11.16, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,grancereale alla frutta,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.154,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Galletti, Registration number S-P-00233, Rev. 2, Approval date 2013.07.02 valid 3 years.",2013,DC,ITALY,MEDITERRANEAN AREA,galletti,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.225,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Girotondi, Registration number S-P-00227, Rev. 2, Approval date 2013.07.02, valid 3 years.",2013,DC,ITALY,MEDITERRANEAN AREA,girotondi,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.234,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Grancereale classico e frutta, Registration number S-P-00324, Rev. 1, Approval date 2012.10.29, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,grancereale alla frutta,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.255,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Girotondi, Registration number S-P-00227, Rev. 3, Approval date 2016.07.27, valid 3 years.",2016,DC,ITALY,MEDITERRANEAN AREA,girotondi,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.263,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Grancereale classico e frutta, Registration number S-P-00324, Rev. 1, Approval date 2012.10.29, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,grancereale classico,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.291,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Galletti, Registration number S-P-00233, Rev. 3, Approval date 2016.10.24 valid 3 years.",2016,DC,ITALY,MEDITERRANEAN AREA,galletti,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.339,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Tarallucci, Registration number S-P-00226, Rev. 3, Approval date 2016.10.24, valid 3 years.",2016,DC,ITALY,MEDITERRANEAN AREA,tarallucci,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.343,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Girotondi, Registration number S-P-00227, Rev. 1, Approval date 2012.06.14, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,girotondi,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.343,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Segreti di Bosco, Registration number S-P-00416, approval date 2013.08.07, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,segreti di bosco,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.346,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Tarallucci, Registration number S-P-00226, Rev. 2, Approval date 2013.02.22, valid 3 years.",2013,DC,ITALY,MEDITERRANEAN AREA,tarallucci,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.368,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Segreti di Bosco, Registration number S-P-00416, Rev. 2, approval date 2016.10.24, valid 3 years",2016,DC,ITALY,MEDITERRANEAN AREA,segreti di bosco,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.41,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Campagnole, Registration number S-P-00423, REV. 2 approval date 2017.13.02, valid 3 years",2017,DC,ITALY,MEDITERRANEAN AREA,campagnole,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.442,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Campagnole, Registration number S-P-00423, approval date 2013.12.05, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,campagnole,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.454,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Petit Pavesi, Registration number S-P-00321, Rev.3, Approval date 2018.06.28, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,petit pavesi,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.526,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Tarallucci, Registration number S-P-00226, Rev. 1, Approval date 2011.03.10, valid 3 years.",2011,DC,ITALY,MEDITERRANEAN AREA,tarallucci,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.548,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Petit Pavesi, Registration number S-P-00321, Rev.2, Approval date 2015.06.15, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,petit pavesi,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.558,EPD,"Barilla. Fiori di latte dichiarazione ambientale di prodotto, Registration number S-P 00418, approval date 2013.08.07, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,fior di latte,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.559,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Gemme integrali, Registration number S-P-00417, approval date 2013.08.07, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,gemme integrali,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.6,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Petit Pavesi, Registration number S-P-00321, Rev.1, Approval date 2012.06.13, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,petit pavesi,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.613,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Gemme integrali, Registration number S-P-00417, Rev. 2 approval date 2016.10.24, valid 3 years",2016,DC,ITALY,MEDITERRANEAN AREA,gemme integrali,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.692,EPD,"Barilla. Fiori di latte dichiarazione ambientale di prodotto, Registration number S-P 00418, Rev. 2 approval date 2016.12.20, valid 3 years",2016,DC,ITALY,MEDITERRANEAN AREA,fior di latte,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,1.945,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Macine, Registration number S-P-00422, approval date 2013.10.17, valid 3 years",2013,DC,ITALY,MEDITERRANEAN AREA,macine,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,2.041,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata alle Macine, Registration number S-P-00422, Rev. 2, approval date 2016.12.20, valid 3 years",2016,DC,ITALY,MEDITERRANEAN AREA,macine,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,2.147,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Pavesini, Registration number S-P-00234, Rev. 3, Approval date 2016.07.26, valid 3 years.",2016,DC,ITALY,MEDITERRANEAN AREA,pavesini,this study,-
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,2.39,JOURNAL,"Berners-Lee, M., C. Hoolohan, H. Cammack, C.N. Hewitt. The relative greenhouse gas impacts of realistic dietary choices, Energ Policy 43:184â190, 2012.",2012,RDC,UK,N EUROPE,biscuits,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,BISCUITS,SIMPLE COOKIES,2.549,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata ai Pavesini, Registration number S-P-00234, Rev. 2, Approval date 2013.07.02, valid 3 years.",2013,DC,ITALY,MEDITERRANEAN AREA,pavesini,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BOTTLED WATER,MINERAL WATER,0.422,JOURNAL,"Strazza, C., Del Borghi, A., Magrassi, F., & Gallo, M. (2016). Using environmental product declaration as source of data for life cycle assessment: A case study. Journal of Cleaner Production, 112, 333â342.",2016,DC,MEDITERRANEAN AREA,MEDITERRANEAN AREA,-,this study,-
AGRICULTURAL PROCESSED,BOTTLED WATER,MINERAL WATER,0.56,JOURNAL,"Strazza, C., Del Borghi, A., Magrassi, F., & Gallo, M. (2016). Using environmental product declaration as source of data for life cycle assessment: A case study. Journal of Cleaner Production, 112, 333â342.",2016,DC,MEDITERRANEAN AREA,MEDITERRANEAN AREA,-,this study,-
AGRICULTURAL PROCESSED,BREAD,BREAD MULTICEREAL,0.514,EPD,"Barilla. Environmental Product Declaration of American Sandwich Complet, Registration number S-P-00325, Rev. 3, Approval date 2016.04.20, valid 3 years.",2016,DC,FRANCE,N EUROPE,american sandwich complet,this study,-
AGRICULTURAL PROCESSED,BREAD,BREAD MULTICEREAL,0.542,EPD,"Barilla. Environmental Product Declaration of American Sandwich Nature, Registration number S-P-00326, Rev. 2, Approval date 2014.12.05, valid 3 years.",2014,DC,FRANCE,N EUROPE,american sandwich nature,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BREAD,BREAD MULTICEREAL,0.775,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata al PanBauletto, Registration number S-P-00223, Rev. 2, Approval date 2015.11.16, valid 3 years.",2015,DC,ITALY,MEDITERRANEAN AREA,pan bauletto,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BREAD,BREAD MULTICEREAL,0.775,EPD,"Barilla. Environmental Product Declaration of American Sandwich Nature, Registration number S-P-00326, Rev. 1, Approval date 2012.10.29, valid 3 years.",2012,DC,FRANCE,N EUROPE,american sandwich nature,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BREAD,BREAD MULTICEREAL,0.864,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata al PanBauletto, Registration number S-P-00223, Rev. 3, Approval date 2018.11.07, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,pan bauletto,this study,-
AGRICULTURAL PROCESSED,BREAD,BREAD MULTICEREAL,1.072,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata al PanBauletto, Registration number S-P-00223, Rev. 1, Approval date 2012.10.29, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,pan bauletto,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.307,CONFERENCE,"Pathak, H., N. Jain, A. Bhatia, J. Patel, P.K. Aggarwal. Carbon footprints of Indian food items, Agric Ecosys Environ 139:66â72, 2010.",2010,"From rural areas to city, 200km by truck",INDIA,ASIA,bread,BCFN (double pyramid 2016),P
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.475,CONFERENCE,"Lindenthal, T., T. Markut, S. HÃ¶rtenhuber, M. Theurl, G. Rudolph. Greenhouse gas emissions of organic and conventional foodstuffs in Austria, 2010. In: Notarnicola, B., E. Settanni, G. Tassielli, P. Giungato. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010), 22-24 September 2010, Bari, Italy. Bari, Italy: UniversitÃ  degli studi di Bari Aldo Moro, 2010. VOL I:319-324.",2010,RETAILER,AUSTRIA,N EUROPE,bread,BCFN (double pyramid 2016),P
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.518,JOURNAL,"Espinoza-Orias, N., H. Stichnothe and A. Azapagic (2011). ""The carbon footprint of bread."" The International Journal of Life Cycle Assessment 16(4): 351-365.",2011,DC,UK,N EUROPE,bread,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.548,EPD,"Barilla. Environmental Product Declaration of Extra Moelleux, Registration number S-P-00328, Rev.3, Approval date 2016.04.20, valid 3 years.",2016,DC,FRANCE,N EUROPE,extra moelleux,this study,-
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.614,EPD,"Barilla. Environmental Product Declaration of Extra Moelleux, Registration number S-P-00328, Rev.2, Approval date 2014.12.05, valid 3 years.",2014,DC,FRANCE,N EUROPE,extra moelleux,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.624,CONFERENCE,"Lindenthal, T., T. Markut, S. HÃ¶rtenhuber, M. Theurl, G. Rudolph. Greenhouse gas emissions of organic and conventional foodstuffs in Austria, 2010. In: Notarnicola, B., E. Settanni, G. Tassielli, P. Giungato. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010), 22-24 September 2010, Bari, Italy. Bari, Italy: UniversitÃ  degli studi di Bari Aldo Moro, 2010. VOL I:319-324.",2010,RETAILER,AUSTRIA,N EUROPE,bread,BCFN (double pyramid 2016),P
AGRICULTURAL PROCESSED,BREAD,BREAD PLAIN,0.689,EPD,"Barilla. Dichiarazione ambientale di prodotto applicata al PancarrÃ¨, Registration number S-P-00323, Rev. 2, Approval date 2016.04.12, valid 3 years.",2016,DC,ITALY,MEDITERRANEAN AREA,pan carre',this study,-
